Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
Root,error_Handler,error_Handler,2,31.54,0,2.26,0,performance_analyzing.exe
Caller,error_Handler,error_Handler,2,31.54,0,2.26,0,performance_analyzing.exe
Callee,error_Handler,printf,2,31.54,0.04,2.26,0,performance_analyzing.exe
Root,error_Handler,error_Handler,2,31.54,0,2.26,0,performance_analyzing.exe
Caller,error_Handler,main,2,31.54,0,2.26,0,performance_analyzing.exe
Callee,error_Handler,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Callee,error_Handler,error_Handler,2,31.54,0,2.26,0,performance_analyzing.exe
Root,GetModuleHandleW,GetModuleHandleW,1,0,0,0,0,KERNEL32.DLL
Caller,GetModuleHandleW,__scrt_is_managed_app,1,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,6,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,6,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,179,0.09,0.09,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,179,0.09,0.09,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,5,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,5,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,11,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,11,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,9,0.02,0.02,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,9,0.02,0.02,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,320,0.4,0.17,0,0,performance_analyzing.exe
Caller,hex_to_int,plainntext_to_blocks,192,0.21,0.08,0,0,performance_analyzing.exe
Caller,hex_to_int,str_to_Uchar_array,128,0.19,0.09,0,0,performance_analyzing.exe
Callee,hex_to_int,__CheckForDebuggerJustMyCode,320,0.08,0.08,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,9,0.02,0.02,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,11,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,5,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,8,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,7,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,30,0.01,0.01,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,179,0.09,0.09,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,6,0,0,0,0,performance_analyzing.exe
Callee,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,9,0,0,0,0,performance_analyzing.exe
Root,hex_to_int,hex_to_int,30,0.01,0.01,0,0,performance_analyzing.exe
Caller,hex_to_int,hex_to_int,30,0.01,0.01,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,10,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,10,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,17,0.01,0.01,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,17,0.01,0.01,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,12,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,12,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,13,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,13,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,11,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,11,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,8,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,8,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,31,0.01,0.01,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,31,0.01,0.01,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,6,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,6,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,32,0.01,0.01,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,32,0.01,0.01,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,11,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,11,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,14,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,14,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,9,0,0,0,0,performance_analyzing.exe
Caller,int_to_hex,int_to_hex,9,0,0,0,0,performance_analyzing.exe
Root,int_to_hex,int_to_hex,200,0.2,0.07,0,0,performance_analyzing.exe
Caller,int_to_hex,array_1d_to_str,64,0.07,0.03,0,0,performance_analyzing.exe
Caller,int_to_hex,ciphertext_blocks_to_str,136,0.13,0.05,0,0,performance_analyzing.exe
Callee,int_to_hex,__CheckForDebuggerJustMyCode,200,0.06,0.06,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,7,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,14,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,5,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,6,0,0,0,0,performance_analyzing.exe
Callee,int_to_hex,int_to_hex,10,0,0,0,0,performance_analyzing.exe
